Heroes,(<2K MMR) PickRate(%),(<2K MMR) WinRate(%),(2K-3K MMR) PickRate(%),(2K-3K MMR) WinRate(%),(3K-4K MMR) PickRate(%),(3K-4K MMR) WinRate(%),(4K-5K MMR) PickRate(%),(4K-5K MMR) WinRate(%),(>5K MMR) PickRate(%),(>5K MMR) WinRate(%),Heroes,(>2K MMR) KDA Ratio,(>2K MMR) Avg Match,(2K-3K MMR) KDA Ratio,(2K-3K) Avg Match,(3K-4K MMR) KDA Ratio,(3K-4K MMR) Avg Match,(4K-5K MMR) KDA Ratio,(4K-5K MMR) Avg Match,(<5K MMR) KDA Ratio,(<5K MMR) Avg Match
Anti-Mage,11.16%,51.22%,9.65%,51.53%,7.91%,51.77%,6.48%,51.03%,4.45%,50.24%,Anti-Mage,3.21,41:30,3.40,40:56,3.42,40:04,3.41,39:01,3.45,37:18
Axe,17.36%,52.93%,16.18%,51.01%,14.50%,49.92%,13.20%,49.10%,10.88%,48.68%,Axe,2.57,42:22,2.56,41:46,2.56,40:55,2.57,39:45,2.56,37:42
Bane,2.31%,47.96%,2.38%,49.05%,2.71%,50.76%,3.19%,50.41%,4.88%,51.95%,Bane,2.35,41:51,2.43,41:27,2.43,40:36,2.39,39:37,2.29,36:48
Bloodseeker,4.71%,48.53%,3.28%,48.43%,2.77%,48.97%,2.57%,48.77%,2.44%,49.23%,Bloodseeker,2.79,42:22,3.02,42:07,3.13,41:28,3.23,40:19,3.41,37:56
Crystal Maiden,13.83%,50.54%,10.69%,48.85%,8.37%,48.03%,6.88%,46.95%,4.51%,46.99%,Crystal Maiden,2.20,41:35,2.18,41:14,2.17,40:30,2.17,39:25,2.15,37:22
Drow Ranger,13.02%,49.94%,10.03%,49.36%,7.63%,48.20%,5.81%,47.66%,3.23%,46.26%,Drow Ranger,2.75,42:18,3.00,42:06,3.02,41:22,3.02,40:27,2.94,38:21
Earthshaker,12.59%,48.03%,13.06%,48.87%,13.97%,49.99%,13.97%,50.70%,13.28%,51.36%,Earthshaker,2.60,42:21,2.74,42:02,2.81,41:13,2.82,40:14,2.85,38:04
Juggernaut,11.23%,48.53%,10.11%,49.16%,8.23%,49.03%,6.25%,48.04%,3.40%,47.25%,Juggernaut,2.73,41:07,3.07,40:36,3.20,39:44,3.25,38:32,3.27,36:33
Mirana,6.27%,47.64%,6.81%,47.46%,6.05%,47.51%,5.11%,46.99%,3.51%,47.86%,Mirana,2.95,41:53,3.10,41:21,3.15,40:35,3.15,39:26,3.14,37:13
Morphling,7.50%,46.71%,6.56%,45.41%,6.52%,45.30%,7.15%,45.15%,8.15%,45.42%,Morphling,2.96,40:32,3.16,40:03,3.28,39:26,3.39,38:39,3.56,36:32
Shadow Fiend,15.70%,49.97%,13.15%,49.67%,11.33%,48.92%,9.60%,48.36%,7.02%,46.48%,Shadow Fiend,2.46,40:42,2.59,40:04,2.63,39:19,2.64,38:04,2.59,36:06
Phantom Lancer,8.39%,53.86%,8.05%,53.99%,7.65%,53.66%,7.27%,53.01%,6.83%,51.25%,Phantom Lancer,3.34,41:51,3.75,41:53,3.91,41:24,3.98,40:25,3.93,38:22
Puck,4.41%,45.01%,6.25%,46.07%,7.62%,46.48%,8.51%,46.79%,8.95%,47.68%,Puck,3.00,41:41,3.37,41:20,3.51,40:34,3.59,39:37,3.72,37:19
Pudge,29.72%,48.23%,29.98%,47.85%,29.74%,47.59%,29.53%,47.43%,23.49%,47.59%,Pudge,2.26,41:23,2.27,40:58,2.23,40:14,2.19,39:12,2.13,37:10
Razor,3.52%,47.26%,3.26%,46.97%,3.48%,46.04%,3.61%,46.69%,3.95%,46.65%,Razor,2.68,41:57,2.80,41:37,2.82,40:38,2.83,39:39,2.79,37:09
Sand King,5.65%,56.40%,4.80%,53.89%,4.50%,53.09%,4.03%,51.33%,3.21%,50.96%,Sand King,2.80,42:30,2.83,42:11,2.87,41:30,2.82,40:22,2.82,38:16
Storm Spirit,5.61%,45.28%,5.48%,45.37%,5.45%,45.84%,5.27%,46.69%,5.17%,47.76%,Storm Spirit,3.04,42:01,3.26,41:31,3.34,40:44,3.36,39:34,3.39,37:31
Sven,6.54%,45.27%,5.72%,45.07%,5.61%,45.63%,5.51%,45.83%,6.08%,45.97%,Sven,2.56,41:31,2.92,41:12,3.15,40:31,3.29,39:24,3.44,36:56
Tiny,3.47%,43.66%,3.15%,43.02%,3.08%,43.27%,3.09%,43.76%,3.26%,45.74%,Tiny,2.48,41:27,2.64,41:06,2.69,40:14,2.72,39:20,2.71,36:48
Vengeful Spirit,8.78%,51.66%,10.98%,51.25%,12.68%,51.17%,14.02%,50.66%,17.14%,50.14%,Vengeful Spirit,2.19,41:00,2.16,40:37,2.12,39:53,2.09,38:50,2.04,36:25
Windranger,8.83%,47.21%,7.82%,46.78%,7.18%,47.14%,6.52%,48.06%,5.59%,47.62%,Windranger,2.88,42:29,2.95,41:57,3.01,41:05,3.07,40:00,3.04,37:37
Zeus,10.88%,53.32%,11.32%,53.53%,11.24%,53.18%,10.96%,52.16%,10.12%,52.41%,Zeus,4.01,42:54,4.45,42:35,4.60,41:56,4.62,40:56,4.55,38:37
Kunkka,9.80%,53.01%,13.46%,55.70%,16.51%,55.93%,18.60%,55.86%,20.84%,55.24%,Kunkka,3.25,42:34,3.56,42:01,3.63,41:16,3.66,40:17,3.68,37:52
Lina,12.12%,46.51%,12.65%,47.75%,14.06%,48.37%,14.86%,48.57%,14.29%,48.23%,Lina,2.49,42:08,2.79,41:58,2.92,41:23,3.01,40:27,3.03,38:11
Lion,19.47%,45.70%,15.92%,45.14%,12.34%,45.13%,9.74%,45.56%,6.82%,46.80%,Lion,2.00,41:53,2.01,41:29,2.03,40:40,2.05,39:40,2.02,37:36
Shadow Shaman,14.78%,51.99%,10.82%,51.80%,8.31%,52.31%,6.91%,51.55%,5.26%,52.57%,Shadow Shaman,2.03,41:30,2.01,41:04,2.03,40:11,2.01,39:10,1.98,36:57
Slardar,10.38%,54.03%,9.25%,54.63%,8.91%,54.99%,8.61%,55.11%,7.51%,53.98%,Slardar,2.67,41:17,2.80,40:45,2.91,39:54,2.98,38:53,2.99,36:50
Tidehunter,5.10%,47.47%,5.86%,47.26%,5.81%,46.29%,5.64%,46.10%,5.66%,46.73%,Tidehunter,2.82,41:35,2.96,41:11,2.99,40:30,3.00,39:17,2.98,37:07
