Heroes,(<2K MMR) PickRate(%),(<2K MMR) WinRate(%),(2K-3K MMR) PickRate(%),(2K-3K MMR) WinRate(%),(3K-4K MMR) PickRate(%),(3K-4K MMR) WinRate(%),(4K-5K MMR) PickRate(%),(4K-5K MMR) WinRate(%),(>5K MMR) PickRate(%),(>5K MMR) WinRate(%)
Anti-Mage,11.16%,51.22%,9.65%,51.53%,7.91%,51.77%,6.48%,51.03%,4.45%,50.24%
Axe,17.36%,52.93%,16.18%,51.01%,14.50%,49.92%,13.20%,49.10%,10.88%,48.68%
Bane,2.31%,47.96%,2.38%,49.05%,2.71%,50.76%,3.19%,50.41%,4.88%,51.95%
Bloodseeker,4.71%,48.53%,3.28%,48.43%,2.77%,48.97%,2.57%,48.77%,2.44%,49.23%
Crystal Maiden,13.83%,50.54%,10.69%,48.85%,8.37%,48.03%,6.88%,46.95%,4.51%,46.99%
Drow Ranger,13.02%,49.94%,10.03%,49.36%,7.63%,48.20%,5.81%,47.66%,3.23%,46.26%
Earthshaker,12.59%,48.03%,13.06%,48.87%,13.97%,49.99%,13.97%,50.70%,13.28%,51.36%
Juggernaut,11.23%,48.53%,10.11%,49.16%,8.23%,49.03%,6.25%,48.04%,3.40%,47.25%
Mirana,6.27%,47.64%,6.81%,47.46%,6.05%,47.51%,5.11%,46.99%,3.51%,47.86%
Morphling,7.50%,46.71%,6.56%,45.41%,6.52%,45.30%,7.15%,45.15%,8.15%,45.42%
Shadow Fiend,15.70%,49.97%,13.15%,49.67%,11.33%,48.92%,9.60%,48.36%,7.02%,46.48%
Phantom Lancer,8.39%,53.86%,8.05%,53.99%,7.65%,53.66%,7.27%,53.01%,6.83%,51.25%
Puck,4.41%,45.01%,6.25%,46.07%,7.62%,46.48%,8.51%,46.79%,8.95%,47.68%
Pudge,29.72%,48.23%,29.98%,47.85%,29.74%,47.59%,29.53%,47.43%,23.49%,47.59%
Razor,3.52%,47.26%,3.26%,46.97%,3.48%,46.04%,3.61%,46.69%,3.95%,46.65%
Sand King,5.65%,56.40%,4.80%,53.89%,4.50%,53.09%,4.03%,51.33%,3.21%,50.96%
Storm Spirit,5.61%,45.28%,5.48%,45.37%,5.45%,45.84%,5.27%,46.69%,5.17%,47.76%
