Day,Weight_kg,Calories_Intake,Protein_Intake_g,Workout_Duration_min,Steps_Walked
2025-01-01,71.5,3209,70,41,6820
2025-01-02,69.6,2584,150,40,4898
2025-01-03,71.9,2927,148,89,9546
2025-01-04,74.6,3216,85,20,2077
2025-01-05,69.3,2045,145,24,9577
2025-01-06,69.3,2999,86,31,12813
2025-01-07,74.7,2862,61,109,6227
2025-01-08,72.3,3300,162,65,2600
2025-01-09,68.6,2558,62,53,3065
2025-01-10,71.6,2337,72,68,4136
2025-01-11,68.6,2720,148,97,12641
2025-01-12,68.6,2207,154,109,12535
2025-01-13,70.7,2324,79,64,12055
2025-01-14,64.3,2627,66,46,11510
2025-01-15,64.8,3329,162,92,14903
2025-01-16,68.3,2702,111,45,13789
2025-01-17,67.0,1835,133,66,8943
2025-01-18,70.9,2484,161,105,13954
2025-01-19,67.3,1819,135,75,9804
2025-01-20,65.8,2120,68,113,8565
2025-01-21,74.4,2311,149,82,7984
2025-01-22,69.3,2199,125,67,7142
2025-01-23,70.2,2453,58,80,6670
2025-01-24,65.7,2771,77,100,4190
2025-01-25,68.4,2270,177,45,11184
2025-01-26,70.3,2966,101,55,4712
2025-01-27,66.5,2915,132,20,4192
2025-01-28,71.1,3177,160,27,3248
2025-01-29,68.2,2633,166,118,13246
2025-01-30,69.1,2526,118,71,14790
2025-01-31,68.2,2653,148,98,6033
2025-02-01,75.6,1850,74,66,3997
2025-02-02,70.0,3488,172,75,5687
2025-02-03,66.8,2374,102,105,12343
2025-02-04,72.5,3013,106,33,6018
2025-02-05,66.3,2948,88,109,13302
2025-02-06,70.6,1949,158,47,3970
2025-02-07,64.1,2113,91,106,10389
2025-02-08,66.0,2369,171,97,7765
2025-02-09,70.6,3165,124,107,12818
2025-02-10,72.2,2104,125,21,3202
2025-02-11,70.5,2481,58,45,10135
2025-02-12,69.7,2637,123,33,7567
2025-02-13,69.1,2877,56,78,9667
2025-02-14,65.6,2802,76,75,7742
2025-02-15,67.8,2243,171,26,7788
2025-02-16,68.6,2412,54,22,7408
2025-02-17,73.2,2792,78,42,12227
2025-02-18,71.0,2063,132,37,10669
2025-02-19,64.7,2876,158,57,11446
2025-02-20,71.0,3395,114,118,2922
2025-02-21,68.8,2803,135,34,2419
2025-02-22,68.0,3443,120,83,4204
2025-02-23,71.8,1804,94,108,12789
2025-02-24,73.1,2926,85,47,3120
2025-02-25,72.8,3019,119,93,13260
2025-02-26,67.5,2573,68,58,2950
2025-02-27,69.1,2676,157,76,4336
2025-02-28,71.0,2791,140,36,7373
2025-03-01,72.9,2683,139,105,4243
2025-03-02,68.6,3173,68,109,4645
2025-03-03,69.4,1846,88,63,12049
2025-03-04,66.7,2666,175,44,6612
2025-03-05,66.4,2622,175,36,3865
2025-03-06,72.4,2735,107,32,13104
2025-03-07,74.1,2455,110,103,13045
2025-03-08,69.8,2068,176,44,8028
2025-03-09,73.0,2169,154,87,9326
2025-03-10,71.1,2435,50,29,8371
2025-03-11,68.1,2929,141,86,8359
2025-03-12,71.1,3493,162,37,9863
2025-03-13,74.6,3482,105,119,5228
2025-03-14,69.9,2456,166,105,5719
2025-03-15,74.7,1919,107,53,13420
2025-03-16,62.1,2630,93,27,4371
2025-03-17,72.5,3427,110,59,4891
2025-03-18,70.3,2881,96,102,5756
2025-03-19,69.1,3169,129,61,6225
2025-03-20,70.3,2540,167,60,2094
2025-03-21,64.0,3297,69,25,4674
2025-03-22,69.3,1916,96,71,8898
2025-03-23,71.1,2590,98,45,12147
2025-03-24,74.4,2950,63,83,2793
2025-03-25,68.4,3216,50,117,12026
2025-03-26,67.6,2812,166,78,4116
2025-03-27,68.5,3464,103,75,7779
2025-03-28,72.7,2881,167,78,14298
2025-03-29,71.0,2433,52,89,13517
2025-03-30,68.4,2312,61,52,13111
2025-03-31,71.5,2601,123,72,12789
2025-04-01,70.3,2919,65,41,13397
2025-04-02,72.9,3461,151,40,14999
2025-04-03,67.9,2941,166,89,8166
2025-04-04,69.0,2359,57,89,2814
2025-04-05,68.8,3424,171,23,2345
2025-04-06,65.6,2287,141,113,12541
2025-04-07,70.9,3060,139,94,10554
2025-04-08,70.8,2696,109,81,4443
2025-04-09,70.0,3095,77,81,12457
2025-04-10,69.3,3012,150,113,12380
2025-04-11,65.8,2503,90,114,9783
2025-04-12,68.7,3270,95,43,13197
2025-04-13,69.0,2380,84,74,13473
2025-04-14,67.6,2589,131,28,2984
2025-04-15,69.5,2660,164,22,9790
2025-04-16,71.2,2046,96,50,11831
2025-04-17,75.7,2899,59,59,2827
2025-04-18,70.5,1953,105,55,12922
2025-04-19,70.8,3479,79,43,5531
2025-04-20,69.8,3258,158,114,9147
2025-04-21,64.2,2796,54,25,6451
2025-04-22,69.9,2909,168,85,13127
2025-04-23,70.2,2496,82,103,5876
2025-04-24,77.4,3108,167,111,7959
2025-04-25,69.4,3043,114,94,2126
2025-04-26,70.9,2892,60,23,5177
2025-04-27,69.9,2870,134,98,13248
2025-04-28,66.5,2808,75,25,10795
2025-04-29,73.4,1893,112,113,13641
2025-04-30,72.3,2757,135,70,8024
2025-05-01,72.4,2811,108,81,7109
2025-05-02,67.3,2252,76,76,6146
2025-05-03,74.2,3027,147,85,9196
2025-05-04,65.8,2711,154,98,13725
2025-05-05,71.8,2017,148,94,13559
2025-05-06,76.6,2273,178,27,5368
2025-05-07,67.0,2231,104,45,5797
2025-05-08,68.3,2140,55,70,3792
2025-05-09,70.3,2350,144,64,13053
2025-05-10,68.5,3435,151,63,7732
2025-05-11,65.3,3112,52,24,5476
2025-05-12,70.2,3077,72,89,5417
2025-05-13,66.8,2156,102,45,3645
2025-05-14,71.4,1822,132,87,11397
2025-05-15,67.2,2321,134,38,5030
2025-05-16,74.6,2923,127,103,4872
2025-05-17,67.7,2601,159,116,5072
2025-05-18,69.0,3003,50,39,3854
2025-05-19,72.4,3046,100,31,6021
2025-05-20,66.3,2561,53,66,6662
2025-05-21,70.7,3482,162,20,8514
2025-05-22,73.9,2241,81,109,7031
2025-05-23,65.2,3431,83,33,4708
2025-05-24,70.6,2568,141,83,13694
2025-05-25,70.8,2815,144,57,9112
2025-05-26,72.3,3148,121,56,11524
2025-05-27,66.3,2315,88,30,10393
2025-05-28,66.0,2839,167,119,5507
2025-05-29,71.6,2591,52,96,8456
2025-05-30,70.9,2135,172,22,6212
2025-05-31,70.8,2057,99,52,9970
2025-06-01,71.0,2296,61,25,10766
2025-06-02,68.0,2695,103,69,2536
2025-06-03,70.7,1959,106,29,3625
2025-06-04,70.9,3298,161,24,12314
2025-06-05,67.9,2651,96,42,9973
2025-06-06,75.6,3487,134,29,10577
2025-06-07,71.4,2489,115,63,10070
2025-06-08,66.4,3498,124,21,13473
2025-06-09,72.0,2179,152,32,10666
2025-06-10,67.1,3368,87,59,10609
2025-06-11,72.4,2756,99,21,8490
2025-06-12,73.5,2490,147,103,5600
2025-06-13,67.5,3250,131,84,8783
2025-06-14,72.9,3436,79,82,11146
2025-06-15,71.2,3091,128,92,6971
2025-06-16,72.5,3400,140,36,3205
2025-06-17,75.7,3240,101,28,14951
2025-06-18,69.3,2991,128,94,14312
2025-06-19,67.7,2866,79,34,3990
2025-06-20,67.3,3379,155,43,7299
2025-06-21,67.6,2084,100,57,14997
2025-06-22,69.8,2196,130,54,5572
2025-06-23,71.0,1811,78,113,7975
2025-06-24,70.8,3430,123,114,8320
2025-06-25,72.5,3125,66,68,6380
2025-06-26,70.0,3076,133,88,14350
2025-06-27,74.4,2298,118,81,6757
2025-06-28,69.2,2553,83,79,4713
2025-06-29,78.2,1834,55,69,12395
2025-06-30,71.9,2526,102,97,7588
2025-07-01,67.4,2648,175,94,13312
2025-07-02,66.8,1889,92,28,2966
2025-07-03,71.4,2575,164,53,6944
