,Result,Record,Opponent,Type,"Round, time",Date,Age(in years),Age(additional days),Location,Notes
0,Win,1–0,Tunney Hunsaker,UD,6,"Oct 29, 1960",18,286,"Freedom Hall, Louisville, Kentucky, U.S.",Not Available
1,Win,2–0,Herb Siler,TKO,"4 (8), 1:00","Dec 27, 1960",18,345,"Municipal Auditorium, Miami Beach, Florida, U.S.",Not Available
2,Win,3–0,Tony Esperti,TKO,"3 (8), 1:30","Jan 17, 1961",19,0,"Municipal Auditorium, Miami Beach, Florida, U.S.",Not Available
3,Win,4–0,Jim Robinson,KO,"1 (8), 1:34","Feb 7, 1961",19,21,"Convention Center, Miami Beach, Florida, U.S.",Not Available
4,Win,5–0,Donnie Fleeman,RTD,6 (8),"Feb 21, 1961",19,35,"Municipal Auditorium, Miami Beach, Florida, U.S.",Not Available
5,Win,6–0,LaMar Clark,KO,"2 (8), 1:27","Apr 19, 1961",19,92,"Freedom Hall, Louisville, Kentucky, U.S.",Not Available
6,Win,7–0,Duke Sabedong,UD,10,"Jun 26, 1961",19,160,"Las Vegas Convention Center, Winchester, Nevada, U.S.",Not Available
7,Win,8–0,Alonzo Johnson,UD,10,"Jul 22, 1961",19,186,"Freedom Hall, Louisville, Kentucky, U.S.",Not Available
8,Win,9–0,Alex Miteff,TKO,"6 (10), 1:45","Oct 7, 1961",19,263,"Freedom Hall, Louisville, Kentucky, U.S.",Not Available
9,Win,10–0,Willi Besmanoff,TKO,"7 (10), 1:55","Nov 29, 1961",19,316,"Freedom Hall, Louisville, Kentucky, U.S.",Not Available
10,Win,11–0,Sonny Banks,TKO,"4 (10), 0:26","Feb 10, 1962",20,24,"Madison Square Garden, New York City, New York, U.S.",Not Available
11,Win,12–0,Don Warner,TKO,"4 (10), 0:34","Feb 28, 1962",20,70,"Convention Center, Miami Beach, Florida, U.S.",Not Available
12,Win,13–0,George Logan,TKO,"4 (10), 1:34","Apr 23, 1962",20,96,"Memorial Sports Arena, Los Angeles, California, U.S.",Not Available
13,Win,14–0,Billy Daniels,TKO,"7 (10), 2:21","May 19, 1962",20,122,"St. Nicholas Arena, New York City, New York, U.S.",Not Available
14,Win,15–0,Alejandro Lavorante,KO,"5 (10), 1:48","Jul 20, 1962",20,184,"Memorial Sports Arena, Los Angeles, California, U.S.",Not Available
15,Win,16–0,Archie Moore,TKO,"4 (10), 1:35","Nov 15, 1962",20,302,"Memorial Sports Arena, Los Angeles, California, U.S.",Not Available
16,Win,17–0,Charlie Powell,KO,"3 (10), 2:04","Jan 24, 1963",21,7,"Civic Arena, Pittsburgh, Pennsylvania, U.S.",Not Available
17,Win,18–0,Doug Jones,UD,10,"Mar 13, 1963",21,55,"Madison Square Garden, New York City, New York, U.S.",Not Available
18,Win,19–0,Henry Cooper,TKO,"5 (10), 2:15","Jun 18, 1963",21,152,"Wembley Stadium, London, England",Not Available
19,Win,20–0,Sonny Liston,RTD,"6 (15), 3:00","Feb 25, 1964",22,39,"Convention Center, Miami Beach, Florida, U.S.","Won WBA, WBC, NYSAC, and The Ring heavyweight titles"
20,Win,21–0,Sonny Liston,KO,"1 (15), 2:12","May 25, 1965",23,128,"Civic Center, Lewiston, Maine, U.S.","Retained WBC, NYSAC, and The Ring heavyweight titles"
21,Win,22–0,Floyd Patterson,TKO,"12 (15), 2:18","Nov 22, 1965",23,309,"Las Vegas Convention Center, Winchester, Nevada, U.S.","Retained WBC, NYSAC, and The Ring heavyweight titles"
22,Win,23–0,George Chuvalo,UD,15,"Mar 29, 1966",24,71,"Maple Leaf Gardens, Toronto, Canada","Retained WBC, NYSAC, and The Ring heavyweight titles"
23,Win,24–0,Henry Cooper,TKO,"6 (15), 1:38","May 21, 1966",24,124,"Arsenal Stadium, London, England","Retained WBC, NYSAC, and The Ring heavyweight titles"
24,Win,25–0,Brian London,KO,"3 (15), 1:40","Aug 6, 1966",24,201,"Earls Court Exhibition Centre, London, England","Retained WBC, NYSAC, and The Ring heavyweight titles"
25,Win,26–0,Karl Mildenberger,TKO,"12 (15), 1:30","Sep 10, 1966",24,236,"Waldstadion, Frankfurt, West Germany","Retained WBC, NYSAC, and The Ring heavyweight titles"
26,Win,27–0,Cleveland Williams,TKO,"3 (15), 1:08","Nov 14, 1966",24,301,"Astrodome, Houston, Texas, U.S.","Retained WBC, NYSAC, and The Ring heavyweight titles"
27,Win,28–0,Ernie Terrell,UD,15,"Feb 6, 1967",25,20,"Astrodome, Houston, Texas, U.S.","Retained WBC, NYSAC, and The Ring heavyweight titles;Won WBA heavyweight title"
28,Win,29–0,Zora Folley,KO,"7 (15), 1:48","Mar 22, 1967",25,64,"Madison Square Garden, New York City, New York, U.S.","Retained WBA, WBC, NYSAC, and The Ring heavyweight titles"
29,Win,30–0,Jerry Quarry,RTD,"3 (15), 3:00","Oct 26, 1970",28,282,"Municipal Auditorium, Atlanta, Georgia, U.S.",Not Available
