Vehicle_ID,Make,Model,Year,Region,Vehicle_Type,Battery_Capacity_kWh,Battery_Health_%,Range_km,Charging_Power_kW,Charging_Time_hr,Charge_Cycles,Energy_Consumption_kWh_per_100km,Mileage_km,Avg_Speed_kmh,Max_Speed_kmh,Acceleration_0_100_kmh_sec,Temperature_C,Usage_Type,CO2_Saved_tons,Maintenance_Cost_USD,Insurance_Cost_USD,Electricity_Cost_USD_per_kWh,Monthly_Charging_Cost_USD,Resale_Value_USD
1,Nissan,Leaf,2021,Asia,SUV,101.7,75.5,565,153.6,0.82,1438,12.76,117727,53.4,233,8.1,-9.0,Personal,14.13,969,843,0.3,375.55,26483
2,Nissan,Leaf,2020,Australia,Sedan,30.1,99.8,157,157.2,0.27,1056,15.79,161730,58.0,221,9.83,1.6,Personal,19.41,1157,1186,0.25,532.02,11287
3,Hyundai,Kona Electric,2021,North America,SUV,118.5,84.0,677,173.6,0.84,1497,24.34,244931,69.4,138,3.6,1.5,Fleet,29.39,291,1890,0.26,1291.68,34023
4,Audi,Q4 e-tron,2022,Europe,Hatchback,33.1,97.3,149,169.3,0.25,1613,14.7,57995,42.9,192,8.97,12.5,Fleet,6.96,401,2481,0.33,234.44,14398
5,Tesla,Model 3,2022,Australia,Truck,81.3,85.6,481,212.8,0.43,1078,22.77,17185,97.6,189,7.03,-3.0,Commercial,2.06,214,2336,0.1,32.61,23033
6,Hyundai,Ioniq 5,2021,North America,Sedan,68.1,81.8,312,14.4,6.31,591,21.48,134312,72.4,235,5.83,-4.2,Commercial,16.12,334,700,0.25,601.05,19412
7,Ford,F-150 Lightning,2016,Asia,Sedan,38.6,81.1,206,170.2,0.27,925,23.53,206664,56.8,176,8.14,28.0,Fleet,24.8,1441,1002,0.29,1175.18,13983
8,Audi,e-tron,2021,Australia,Sedan,33.6,91.3,141,116.0,0.39,1063,20.27,112059,69.4,133,9.4,2.5,Fleet,13.45,948,2178,0.28,530.0,14121
9,Mercedes,EQS,2018,Europe,Sedan,114.9,88.0,619,221.4,0.61,1797,20.23,7693,62.0,237,4.71,34.6,Personal,0.92,1554,2163,0.3,38.91,31897
10,Hyundai,Ioniq 5,2023,North America,SUV,58.6,73.3,261,113.1,0.57,1968,15.96,194125,65.8,138,6.65,24.6,Personal,23.3,1457,1183,0.15,387.28,20833
11,Kia,Niro EV,2020,Asia,SUV,49.7,86.7,238,26.5,2.46,1491,15.27,246025,79.9,230,5.35,-8.2,Commercial,29.52,312,501,0.22,688.75,17350
12,Hyundai,Ioniq 5,2020,North America,SUV,33.0,80.4,173,173.7,0.23,929,24.81,223527,71.5,184,8.45,1.9,Fleet,26.82,966,793,0.18,831.86,17073
13,Hyundai,Kona Electric,2018,Australia,Hatchback,118.5,82.0,667,201.8,0.8,386,14.42,20708,90.1,188,4.93,25.6,Commercial,2.48,1734,646,0.17,42.3,32442
14,Audi,e-tron,2021,Asia,Sedan,45.7,90.7,218,234.9,0.26,672,14.72,26918,91.4,228,4.99,-1.3,Personal,3.23,823,1516,0.22,72.64,14402
15,Ford,F-150 Lightning,2015,Asia,Sedan,51.8,72.8,300,226.2,0.27,208,15.63,178714,80.8,132,9.07,10.2,Personal,21.45,1896,2443,0.31,721.6,17006
16,Ford,Mustang Mach-E,2015,Australia,Hatchback,44.5,97.0,231,13.2,4.65,298,24.66,204569,41.3,211,6.66,12.4,Fleet,24.55,1156,2204,0.13,546.51,14658
17,BMW,i4,2018,Europe,SUV,51.4,79.8,282,166.3,0.34,600,16.0,206163,65.6,215,5.22,2.2,Fleet,24.74,237,729,0.19,522.28,18378
18,Audi,Q4 e-tron,2020,Australia,Hatchback,111.5,83.0,524,165.2,0.78,1704,14.54,176836,64.9,133,3.66,22.3,Commercial,21.22,216,1695,0.33,707.08,28596
19,BMW,iX,2019,Australia,Sedan,109.5,92.4,646,90.0,1.45,806,24.53,190312,35.3,214,4.74,3.4,Personal,22.84,1546,627,0.18,700.25,26798
20,BMW,iX,2024,Europe,Hatchback,114.3,90.9,587,34.2,3.91,1053,16.66,61958,66.3,131,5.6,32.4,Fleet,7.43,1616,2334,0.27,232.25,29880
