DATE,HT,AT,WINNER,HS,AS,Q1H,Q1A,Q1T,Q2H,Q2A,Q2T,Q3H,Q3A,Q3T,Q4H,Q4A,Q4T,OTH,OTA,P1H,P1A,P2H,P2A,P1T,P2T,HTT,FTT,GAPA1Q,GAPA2Q,GAPA3Q,GAPA4Q,GAPT
13.12.2019,Barcelona,Panathinaikos,Barcelona,98,86,28,23,51,27,24,51,16,18,34,27,21,48,,,55,47,43,39,102,82,102,82,5,4,6,12,12
13.12.2019,Lyon-Villeurbanne,Olimpia Milano,Lyon-Villeurbanne,89,82,20,24,44,18,21,39,32,16,48,19,21,40,,,38,45,51,37,83,88,83,88,4,6,9,7,7
13.12.2019,Bayern,Zenit Petersburg,Bayern,77,69,14,15,29,23,20,43,24,15,39,16,19,35,,,37,35,40,34,72,74,72,74,1,5,11,8,8
13.12.2019,Zalgiris Kaunas,Valencia,Valencia,82,86,21,19,40,27,28,55,9,17,26,25,22,47,,,48,47,34,39,95,73,95,73,2,13,7,4,4
12.12.2019,Real Madrid,Olympiacos,Real Madrid,93,77,21,10,31,20,20,40,31,18,49,21,29,50,,,41,30,52,47,71,99,71,99,11,22,24,16,16
12.12.2019,Maccabi Tel Aviv,CSKA Moscow,Maccabi Tel Aviv,90,80,20,29,49,25,23,48,21,12,33,24,16,40,,,45,52,45,28,97,73,97,73,9,7,2,10,10
12.12.2019,Crvena zvezda mts,Baskonia,Baskonia,64,72,14,20,34,17,12,29,12,24,36,21,16,37,,,31,32,33,40,63,73,63,73,6,1,13,8,8
12.12.2019,Fenerbahce,Anadolu Efes,Anadolu Efes,73,81,22,20,42,16,18,34,11,21,32,24,22,46,,,38,38,35,43,76,78,76,78,2,3,10,8,8
12.12.2019,Khimki M.,Alba Berlin,Khimki M.,104,87,23,32,55,31,19,50,23,12,35,27,24,51,,,54,51,50,36,105,86,105,86,9,1,14,17,17
06.12.2019,Baskonia,Anadolu Efes,Anadolu Efes,77,102,16,26,42,19,29,48,18,21,39,24,26,50,,,35,55,42,47,90,89,90,89,10,13,23,25,25
06.12.2019,Panathinaikos,Olympiacos,Panathinaikos,99,93,18,17,35,28,22,50,17,22,39,23,25,48,13,7,46,39,40,47,85,87,85,87,1,1,2,0,6
06.12.2019,Fenerbahce,Alba Berlin,Fenerbahce,107,102,30,16,46,11,24,35,24,22,46,23,26,49,19,14,41,40,47,48,81,95,81,95,14,7,3,0,5
06.12.2019,Khimki M.,Barcelona,Barcelona,94,102,22,31,53,26,30,56,22,23,45,24,18,42,,,48,61,46,41,109,87,109,87,9,15,14,8,8
06.12.2019,Zenit Petersburg,Lyon-Villeurbanne,Zenit Petersburg,75,70,17,15,32,13,21,34,23,13,36,22,21,43,,,30,36,45,34,66,79,66,79,2,9,4,5,5
05.12.2019,Real Madrid,Valencia,Real Madrid,111,99,30,29,59,23,20,43,27,21,48,31,29,60,,,53,49,58,50,102,108,102,108,1,9,10,12,12
05.12.2019,Olimpia Milano,Crvena zvezda mts,Crvena zvezda mts,67,77,18,20,38,22,19,41,10,18,28,17,20,37,,,40,39,27,38,79,65,79,65,2,12,7,10,10
05.12.2019,Maccabi Tel Aviv,Bayern,Maccabi Tel Aviv,77,55,22,18,40,19,8,27,12,21,33,24,8,32,,,41,26,36,29,67,65,67,65,4,10,6,22,22
05.12.2019,CSKA Moscow,Zalgiris Kaunas,CSKA Moscow,85,82,9,17,26,23,14,37,19,19,38,18,19,37,16,13,32,31,37,38,63,75,63,75,8,6,1,0,3
29.11.2019,Barcelona,CSKA Moscow,CSKA Moscow,67,96,20,18,38,18,33,51,12,25,37,17,20,37,,,38,51,29,45,89,74,89,74,2,22,26,29,29
29.11.2019,Olympiacos,Olimpia Milano,Olympiacos,91,70,15,19,34,25,18,43,31,16,47,20,17,37,,,40,37,51,33,77,84,77,84,4,14,18,21,21
29.11.2019,Anadolu Efes,Bayern,Anadolu Efes,104,75,30,22,52,27,18,45,19,18,37,28,17,45,,,57,40,47,35,97,82,97,82,8,7,18,29,29
29.11.2019,Zenit Petersburg,Real Madrid,Real Madrid,71,86,19,22,41,18,22,40,19,22,41,15,20,35,,,37,44,34,42,81,76,81,76,3,10,10,15,15
28.11.2019,Maccabi Tel Aviv,Lyon-Villeurbanne,Maccabi Tel Aviv,93,62,20,17,37,23,17,40,24,13,37,26,15,41,,,43,34,50,28,77,78,77,78,3,16,20,31,31
28.11.2019,Alba Berlin,Zalgiris Kaunas,Alba Berlin,69,62,15,7,22,17,19,36,15,20,35,22,16,38,,,32,26,37,36,58,73,58,73,8,11,1,7,7
28.11.2019,Panathinaikos,Baskonia,Panathinaikos,100,68,20,17,37,26,19,45,26,15,41,28,17,45,,,46,36,54,32,82,86,82,86,3,18,21,32,32
28.11.2019,Crvena zvezda mts,Valencia,Crvena zvezda mts,76,73,17,19,36,20,22,42,23,10,33,16,22,38,,,37,41,39,32,78,71,78,71,2,2,9,3,3
28.11.2019,Fenerbahce,Khimki M.,Fenerbahce,89,76,28,24,52,16,25,41,21,6,27,24,21,45,,,44,49,45,27,93,72,93,72,4,4,10,13,13
22.11.2019,Barcelona,Maccabi Tel Aviv,Barcelona,96,73,21,18,39,22,28,50,31,20,51,22,7,29,,,43,46,53,27,89,80,89,80,3,7,8,23,23
22.11.2019,Baskonia,Zenit Petersburg,Baskonia,70,60,15,18,33,19,10,29,18,16,34,18,16,34,,,34,28,36,32,62,68,62,68,3,8,8,10,10
