"purchase_id","id","Age","Sex","Income","Purchase_Date","Region"
195,197678,60,"M",477000,2021-04-01,"Удмуртская Республика"
1900,201480,56,"M",629000,2023-10-01,"Саратовская область"
5002,198108,36,"M",389000,2021-09-01,"Пермский край"
41,199130,43,"M",240000,2023-01-01,"Кировская область"
1722,197602,53,"F",359000,2022-10-01,"Пермский край"
926,198038,53,"M",503000,2023-08-01,"Республика Татарстан"
2825,202126,61,"M",240000,2021-09-01,"Нижегородская область"
3619,200138,48,"M",386000,2021-05-01,"Республика Татарстан"
1332,201499,54,"M",471000,2023-02-01,"Саратовская область"
915,200225,52,"M",240000,2023-08-01,"Республика Башкортостан"
2821,199317,53,"M",385000,2022-06-01,"Ульяновская область"
5329,198787,56,"M",998000,2021-05-01,"Республика Башкортостан"
1838,197480,54,"M",452000,2023-09-01,"Чувашская Республика"
4082,197523,44,"M",702000,2023-05-01,"Республика Татарстан"
3018,199006,37,"M",651000,2021-08-01,"Самарская область"
667,201811,46,"M",1540000,2023-08-01,"Самарская область"
1075,197788,53,"M",240000,2021-08-01,"Пермский край"
5418,201184,50,"M",380000,2023-07-01,"Республика Башкортостан"
3355,199997,43,"F",343000,2022-12-01,"Саратовская область"
4958,198608,47,"M",390000,2021-08-01,"Самарская область"
2562,201280,51,"M",859000,2023-05-01,"Самарская область"
2305,197469,35,"M",363000,2023-06-01,"Самарская область"
4096,199247,58,"F",240000,2021-04-01,"Республика Башкортостан"
3200,201919,37,"M",244000,2023-01-01,"Чувашская Республика"
5465,200463,53,"M",459000,2022-06-01,"Нижегородская область"
3420,199235,59,"F",590000,2023-11-01,"Чувашская Республика"
44,200635,52,"M",336000,2021-10-01,"Чувашская Республика"
4262,200107,52,"M",482000,2022-08-01,"Кировская область"
5472,198114,52,"M",369000,2021-08-01,"Республика Башкортостан"
2581,198667,35,"F",240000,2023-07-01,"Республика Башкортостан"
3142,201941,50,"M",589000,2022-11-01,"Республика Башкортостан"
1094,199161,42,"M",240000,2022-05-01,"Саратовская область"
2511,200350,47,"M",636000,2021-07-01,"Оренбургская область"
5086,197881,51,"M",440000,2022-08-01,"Республика Башкортостан"
1495,199523,50,"M",646000,2023-12-01,"Нижегородская область"
1932,201752,43,"M",287000,2022-08-01,"Оренбургская область"
720,201080,54,"M",335000,2022-10-01,"Нижегородская область"
2416,197638,52,"M",315000,2021-08-01,"Саратовская область"
6,201377,59,"M",240000,2021-06-01,"Республика Мордовия"
5321,197789,59,"M",345000,2021-02-01,"Кировская область"
280,198518,51,"M",403000,2021-10-01,"Пензенская область"
2205,200273,53,"M",266000,2022-05-01,"Удмуртская Республика"
4261,202053,50,"M",753000,2023-07-01,"Республика Мордовия"
4295,202293,42,"M",240000,2023-03-01,"Нижегородская область"
